userid,rating,title,tmdbid
1,4.0,Toy Story (1995),862
5,4.0,Toy Story (1995),862
7,4.5,Toy Story (1995),862
15,2.5,Toy Story (1995),862
17,4.5,Toy Story (1995),862
18,3.5,Toy Story (1995),862
19,4.0,Toy Story (1995),862
21,3.5,Toy Story (1995),862
27,3.0,Toy Story (1995),862
31,5.0,Toy Story (1995),862
32,3.0,Toy Story (1995),862
33,3.0,Toy Story (1995),862
40,5.0,Toy Story (1995),862
43,5.0,Toy Story (1995),862
44,3.0,Toy Story (1995),862
45,4.0,Toy Story (1995),862
46,5.0,Toy Story (1995),862
50,3.0,Toy Story (1995),862
54,3.0,Toy Story (1995),862
57,5.0,Toy Story (1995),862
63,5.0,Toy Story (1995),862
64,4.0,Toy Story (1995),862
66,4.0,Toy Story (1995),862
68,2.5,Toy Story (1995),862
71,5.0,Toy Story (1995),862
73,4.5,Toy Story (1995),862
76,0.5,Toy Story (1995),862
78,4.0,Toy Story (1995),862
82,2.5,Toy Story (1995),862
86,4.0,Toy Story (1995),862
89,3.0,Toy Story (1995),862
90,3.0,Toy Story (1995),862
91,4.0,Toy Story (1995),862
93,3.0,Toy Story (1995),862
96,5.0,Toy Story (1995),862
98,4.5,Toy Story (1995),862
103,4.0,Toy Story (1995),862
107,4.0,Toy Story (1995),862
112,3.0,Toy Story (1995),862
119,3.5,Toy Story (1995),862
121,4.0,Toy Story (1995),862
124,4.0,Toy Story (1995),862
130,3.0,Toy Story (1995),862
132,2.0,Toy Story (1995),862
134,3.0,Toy Story (1995),862
135,4.0,Toy Story (1995),862
137,4.0,Toy Story (1995),862
140,3.0,Toy Story (1995),862
141,4.0,Toy Story (1995),862
144,3.5,Toy Story (1995),862
145,5.0,Toy Story (1995),862
151,5.0,Toy Story (1995),862
153,2.0,Toy Story (1995),862
155,3.0,Toy Story (1995),862
156,4.0,Toy Story (1995),862
159,4.5,Toy Story (1995),862
160,4.0,Toy Story (1995),862
161,4.0,Toy Story (1995),862
166,5.0,Toy Story (1995),862
167,3.5,Toy Story (1995),862
169,4.5,Toy Story (1995),862
171,5.0,Toy Story (1995),862
177,5.0,Toy Story (1995),862
178,4.0,Toy Story (1995),862
179,4.0,Toy Story (1995),862
182,4.0,Toy Story (1995),862
185,4.0,Toy Story (1995),862
186,4.0,Toy Story (1995),862
191,4.0,Toy Story (1995),862
193,2.0,Toy Story (1995),862
200,3.5,Toy Story (1995),862
201,5.0,Toy Story (1995),862
202,4.0,Toy Story (1995),862
206,5.0,Toy Story (1995),862
213,3.5,Toy Story (1995),862
214,3.0,Toy Story (1995),862
216,3.0,Toy Story (1995),862
217,4.0,Toy Story (1995),862
219,3.5,Toy Story (1995),862
220,5.0,Toy Story (1995),862
223,3.5,Toy Story (1995),862
226,3.5,Toy Story (1995),862
229,5.0,Toy Story (1995),862
232,3.5,Toy Story (1995),862
233,3.0,Toy Story (1995),862
234,5.0,Toy Story (1995),862
239,4.0,Toy Story (1995),862
240,5.0,Toy Story (1995),862
247,5.0,Toy Story (1995),862
249,4.0,Toy Story (1995),862
252,4.5,Toy Story (1995),862
254,4.5,Toy Story (1995),862
263,4.0,Toy Story (1995),862
264,4.0,Toy Story (1995),862
266,2.0,Toy Story (1995),862
269,5.0,Toy Story (1995),862
270,5.0,Toy Story (1995),862
273,5.0,Toy Story (1995),862
274,4.0,Toy Story (1995),862
275,5.0,Toy Story (1995),862
276,4.0,Toy Story (1995),862
277,4.0,Toy Story (1995),862
279,3.0,Toy Story (1995),862
280,4.5,Toy Story (1995),862
282,4.5,Toy Story (1995),862
283,3.0,Toy Story (1995),862
288,4.5,Toy Story (1995),862
290,4.0,Toy Story (1995),862
291,4.0,Toy Story (1995),862
292,4.0,Toy Story (1995),862
293,3.0,Toy Story (1995),862
298,2.0,Toy Story (1995),862
304,5.0,Toy Story (1995),862
307,4.0,Toy Story (1995),862
314,3.0,Toy Story (1995),862
322,3.5,Toy Story (1995),862
323,3.5,Toy Story (1995),862
328,5.0,Toy Story (1995),862
330,4.0,Toy Story (1995),862
332,4.0,Toy Story (1995),862
334,3.5,Toy Story (1995),862
336,4.0,Toy Story (1995),862
337,4.0,Toy Story (1995),862
339,4.0,Toy Story (1995),862
341,5.0,Toy Story (1995),862
347,5.0,Toy Story (1995),862
350,4.0,Toy Story (1995),862
353,5.0,Toy Story (1995),862
357,5.0,Toy Story (1995),862
359,4.0,Toy Story (1995),862
364,5.0,Toy Story (1995),862
367,5.0,Toy Story (1995),862
372,3.0,Toy Story (1995),862
373,3.0,Toy Story (1995),862
378,4.5,Toy Story (1995),862
380,5.0,Toy Story (1995),862
381,3.5,Toy Story (1995),862
382,4.5,Toy Story (1995),862
385,4.0,Toy Story (1995),862
389,5.0,Toy Story (1995),862
391,3.0,Toy Story (1995),862
396,5.0,Toy Story (1995),862
399,4.0,Toy Story (1995),862
401,3.5,Toy Story (1995),862
411,5.0,Toy Story (1995),862
412,2.0,Toy Story (1995),862
414,4.0,Toy Story (1995),862
420,4.0,Toy Story (1995),862
422,4.0,Toy Story (1995),862
432,2.5,Toy Story (1995),862
434,4.0,Toy Story (1995),862
436,4.0,Toy Story (1995),862
438,4.5,Toy Story (1995),862
443,4.0,Toy Story (1995),862
448,5.0,Toy Story (1995),862
451,5.0,Toy Story (1995),862
453,5.0,Toy Story (1995),862
456,5.0,Toy Story (1995),862
460,4.5,Toy Story (1995),862
462,1.5,Toy Story (1995),862
468,4.0,Toy Story (1995),862
469,4.0,Toy Story (1995),862
470,4.0,Toy Story (1995),862
471,5.0,Toy Story (1995),862
474,4.0,Toy Story (1995),862
476,4.0,Toy Story (1995),862
477,4.0,Toy Story (1995),862
480,3.0,Toy Story (1995),862
483,4.0,Toy Story (1995),862
484,4.5,Toy Story (1995),862
488,4.5,Toy Story (1995),862
490,3.5,Toy Story (1995),862
492,4.0,Toy Story (1995),862
500,4.0,Toy Story (1995),862
504,4.0,Toy Story (1995),862
509,4.0,Toy Story (1995),862
514,4.0,Toy Story (1995),862
517,4.0,Toy Story (1995),862
522,3.0,Toy Story (1995),862
524,4.0,Toy Story (1995),862
525,4.0,Toy Story (1995),862
528,2.5,Toy Story (1995),862
529,3.0,Toy Story (1995),862
533,5.0,Toy Story (1995),862
534,4.0,Toy Story (1995),862
541,3.0,Toy Story (1995),862
544,3.0,Toy Story (1995),862
550,4.0,Toy Story (1995),862
555,4.0,Toy Story (1995),862
559,5.0,Toy Story (1995),862
560,3.0,Toy Story (1995),862
561,4.0,Toy Story (1995),862
562,4.5,Toy Story (1995),862
567,3.5,Toy Story (1995),862
570,4.0,Toy Story (1995),862
572,4.0,Toy Story (1995),862
573,5.0,Toy Story (1995),862
579,4.0,Toy Story (1995),862
580,3.0,Toy Story (1995),862
584,5.0,Toy Story (1995),862
587,5.0,Toy Story (1995),862
590,4.0,Toy Story (1995),862
596,4.0,Toy Story (1995),862
597,4.0,Toy Story (1995),862
599,3.0,Toy Story (1995),862
600,2.5,Toy Story (1995),862
601,4.0,Toy Story (1995),862
603,4.0,Toy Story (1995),862
604,3.0,Toy Story (1995),862
605,4.0,Toy Story (1995),862
606,2.5,Toy Story (1995),862
607,4.0,Toy Story (1995),862
608,2.5,Toy Story (1995),862
609,3.0,Toy Story (1995),862
610,5.0,Toy Story (1995),862
6,4.0,Jumanji (1995),8844
8,4.0,Jumanji (1995),8844
18,3.0,Jumanji (1995),8844
19,3.0,Jumanji (1995),8844
20,3.0,Jumanji (1995),8844
21,3.5,Jumanji (1995),8844
27,4.0,Jumanji (1995),8844
51,4.5,Jumanji (1995),8844
62,4.0,Jumanji (1995),8844
68,2.5,Jumanji (1995),8844
82,3.0,Jumanji (1995),8844
91,3.0,Jumanji (1995),8844
93,5.0,Jumanji (1995),8844
94,4.0,Jumanji (1995),8844
103,4.0,Jumanji (1995),8844
104,3.0,Jumanji (1995),8844
107,5.0,Jumanji (1995),8844
112,1.5,Jumanji (1995),8844
117,3.0,Jumanji (1995),8844
122,4.0,Jumanji (1995),8844
125,4.0,Jumanji (1995),8844
135,3.0,Jumanji (1995),8844
140,3.5,Jumanji (1995),8844
144,3.0,Jumanji (1995),8844
149,1.0,Jumanji (1995),8844
153,2.0,Jumanji (1995),8844
160,4.0,Jumanji (1995),8844
169,4.0,Jumanji (1995),8844
177,3.5,Jumanji (1995),8844
186,4.0,Jumanji (1995),8844
202,4.0,Jumanji (1995),8844
217,2.0,Jumanji (1995),8844
219,2.5,Jumanji (1995),8844
221,3.5,Jumanji (1995),8844
222,2.5,Jumanji (1995),8844
226,3.0,Jumanji (1995),8844
230,2.5,Jumanji (1995),8844
232,4.0,Jumanji (1995),8844
240,5.0,Jumanji (1995),8844
249,4.0,Jumanji (1995),8844
259,2.0,Jumanji (1995),8844
274,3.5,Jumanji (1995),8844
276,4.0,Jumanji (1995),8844
284,4.0,Jumanji (1995),8844
288,2.0,Jumanji (1995),8844
294,3.0,Jumanji (1995),8844
298,0.5,Jumanji (1995),8844
299,3.0,Jumanji (1995),8844
304,4.0,Jumanji (1995),8844
305,3.5,Jumanji (1995),8844
307,2.5,Jumanji (1995),8844
308,3.0,Jumanji (1995),8844
318,3.5,Jumanji (1995),8844
321,5.0,Jumanji (1995),8844
322,3.0,Jumanji (1995),8844
323,4.0,Jumanji (1995),8844
330,1.5,Jumanji (1995),8844
347,3.0,Jumanji (1995),8844
353,4.0,Jumanji (1995),8844
357,3.0,Jumanji (1995),8844
359,3.5,Jumanji (1995),8844
373,3.0,Jumanji (1995),8844
380,5.0,Jumanji (1995),8844
381,4.0,Jumanji (1995),8844
395,3.0,Jumanji (1995),8844
411,4.0,Jumanji (1995),8844
414,3.0,Jumanji (1995),8844
425,3.0,Jumanji (1995),8844
426,4.5,Jumanji (1995),8844
432,4.0,Jumanji (1995),8844
434,2.5,Jumanji (1995),8844
436,4.0,Jumanji (1995),8844
446,3.0,Jumanji (1995),8844
447,5.0,Jumanji (1995),8844
448,3.0,Jumanji (1995),8844
458,4.0,Jumanji (1995),8844
470,3.0,Jumanji (1995),8844
474,3.0,Jumanji (1995),8844
475,4.5,Jumanji (1995),8844
476,4.0,Jumanji (1995),8844
477,4.0,Jumanji (1995),8844
